;Abruzzo;Basilicata;Bolzano;Calabria;Campania;Emilia;Friuli;Lazio;Liguria;Lombardi;Marche;Molise;Piemonte;Puglia;Sardegna;Sicilia;Toscana;Trento;Umbria;ValleAosta;Veneto
Abruzzo;1;0;0.898;0.16;0.103;0;0.336;0.147;0;0;0;0;0;0.596;0.213;0.541;0;0.968;0.945;0.307;0
Basilicata;0;1;0;0.094;0;0;0;0;0;0;0;0.49;0;0;0.104;0;0;0;0;0;0
Bolzano;0.898;0;1;0.213;0.119;0;0.471;0.122;0;0;0;0;0;0.497;0.222;0.371;0;0.989;0.967;0.531;0
Calabria;0.16;0.094;0.213;1;0;0;0;0;0;0;0;0.198;0;0.067;0.84;0;0;0.257;0.179;0;0
Campania;0.103;0;0.119;0;1;0;0.48;0.914;0.485;0;0;0;0;0.304;0;0.295;0.214;0.247;0.109;0.554;0
Emilia;0;0;0;0;0;1;0;0;0;0.478;0.266;0;0;0;0;0;0;0;0;0;0.071
Friuli;0.336;0;0.471;0;0.48;0;1;0.468;0.197;0;0;0;0;0.783;0;0.717;0.077;0.625;0.367;0.936;0
Lazio;0.147;0;0.122;0;0.914;0;0.468;1;0.61;0;0;0;0;0.337;0;0.368;0.235;0.19;0.132;0.485;0
Liguria;0;0;0;0;0.485;0;0.197;0.61;1;0;0;0;0.104;0.096;0;0.097;0.573;0.052;0;0.248;0
Lombardi;0;0;0;0;0;0.478;0;0;0;1;0.241;0;0;0;0;0;0;0;0;0;0.626
Marche;0;0;0;0;0;0.266;0;0;0;0.241;1;0;0.218;0;0;0;0;0;0;0;0
Molise;0;0.49;0;0.198;0;0;0;0;0;0;0;1;0;0;0.153;0;0;0;0;0;0
Piemonte;0;0;0;0;0;0;0;0;0.104;0;0.218;0;1;0;0;0;0.262;0;0;0;0
Puglia;0.596;0;0.497;0.067;0.304;0;0.783;0.337;0.096;0;0;0;0;1;0.091;0.963;0;0.703;0.615;0.697;0
Sardegna;0.213;0.104;0.222;0.84;0;0;0;0;0;0;0;0.153;0;0.091;1;0.068;0;0.255;0.232;0;0
Sicilia;0.541;0;0.371;0;0.295;0;0.717;0.368;0.097;0;0;0;0;0.963;0.068;1;0;0.65;0.577;0.605;0
Toscana;0;0;0;0;0.214;0;0.077;0.235;0.573;0;0;0;0.262;0;0;0;1;0;0;0.083;0
Trento;0.968;0;0.989;0.257;0.247;0;0.625;0.19;0.052;0;0;0;0;0.703;0.255;0.65;0;1;0.925;0.607;0
Umbria;0.945;0;0.967;0.179;0.109;0;0.367;0.132;0;0;0;0;0;0.615;0.232;0.577;0;0.925;1;0.331;0
ValleAosta;0.307;0;0.531;0;0.554;0;0.936;0.485;0.248;0;0;0;0;0.697;0;0.605;0.083;0.607;0.331;1;0
Veneto;0;0;0;0;0;0.071;0;0;0;0.626;0;0;0;0;0;0;0;0;0;0;1